ID|Food Concept|Semantic Tags
A010550|SWEET PICKLE VINEGAR|AG.01.ae.01 [Wine-making];AG.01.t.06 [Preserving/pickling];AG.01.l [Additive]
A010551|TINTED SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010552|COOLED PASTRY CREAM|AG.01.e [Dairy produce];AG.01.t.05 [Preparation for table/cooking];AG.01.n.15 [Pastry];AG.01.n [Dishes and prepared food]
A010553|SUGARY TOP CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010554|PRE-BAKED PASTRY SHELL|AG.01.n.15 [Pastry];AG.01.o [Animal food]
A010555|COOKIE CUT SIDE|AG.01.n.13 [Cake]
A010556|ICING SETS|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010557|FROSTED CORN FLAKES|AG.01.i [Corn/cereals/grain]
A010558|PASTRY RECTANGLE|AG.01.n.15 [Pastry]
A010559|SLICED PLUMS|AG.01.h.01.e [Fruit containing stone];AG.01.t.05 [Preparation for table/cooking]
A010560|RESERVED GRAHAM CRACKER CRUMBS|AG.01.n.11 [Bread];AG.01.k [Flour]
A010561|CHILLED BROWNIES|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling]
A010562|DOUGH DISK|AG.01.n.11 [Bread]
A010563|ROUND CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A010564|MINI CANDY BARS|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ak.01 [Drinking place]
A010565|MINI CANDY BAR|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ak.01 [Drinking place]
A010566|ENTIRE CANDY PIECE|AG.01.n.11 [Bread];AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010567|SMALL POTATOES|AG.01.h.02.a [Root vegetable]
A010568|PUDDING BATTER|AG.01.n.05 [Sausage];AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings]
A010569|RESERVED CHOPPED CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A010570|BANANA PIECE|AG.01.n.11 [Bread];AG.01.h.01 [Fruit/a fruit]
A010571|TOFFEE COATING|AG.01 [Food]
A010572|CHOCOLATE OVERHEAT|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A010573|1-CUP SOUFFLE DISHES|AG.01.w [Setting table];AG.01.n [Dishes and prepared food]
A010574|SWEETENED COCOA POWDER|AG.01.t.05 [Preparation for table/cooking]
A010575|BOILED BUTTER MIXTURE|AG.01.e.01 [Butter];AG.01.af [Tea manufacture];AG.01.t.07 [Cooking];AG.01.n [Dishes and prepared food]
A010576|SUGAR COOKIE DOUGH|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010577|CRUSHED TOFFEE BAR|AG.01 [Food]
A010578|WARM CUPCAKES|AG.01 [Food]
A010579|SECTION SKIN SIDE|AG.01 [Food]
A010580|LAVENDER SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010581|LAVENDER BUDS|AF.10.c [Bud];AF.28 [Fragrant plants/plants used in perfumery];AE.08 [Invertebrates]
A010582|CRANBERRY LIQUEUR|AG.01.n.17.a [Sweets];AG.01.ae.01 [Wine-making];AG.01.y.01 [Intoxicating liquor];AG.01.h.01.b [Berry]
A010583|TURKEY BASTER|AG.01.d.06 [Fowls];AG.01.t.07 [Cooking]
A010584|HOT ICE CREAM|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01 [Food]
A010585|STRAWBERRY VODKA SAUCE|AG.01.h.01.b [Berry];AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01.y.01 [Intoxicating liquor]
A010586|FAVOURITE HOT CEREAL TOPPINGS|AG.01.i [Corn/cereals/grain];AG.01 [Food]
A010587|PUFF PASTRY SHELL|AG.01.n.15 [Pastry];AG.01.o [Animal food]
A010588|KIWI SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010589|PORK RINDS|AG.01.d.05 [Pork]
A010590|PECAN CANDY|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.h.01.f [Nut]
A010591|CHOPPED PECAN CANDY|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.h.01.f [Nut]
A010592|RASPBERRY CREAM MIXTURE|AG.01.e [Dairy produce];AG.01.h.01.b [Berry];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food]
A010593|2-INCH ROUND COOKIE|AG.01.n.13 [Cake]
A010594|SMALLER ROUND COOKIE|AG.01.n.13 [Cake]
A010595|LOOSE CINNAMON SUGAR|AG.01.l.03 [Spice];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010596|QUARTERED STRAWBERRIES|AG.01.h.01.b [Berry]
A010597|FRESH PEACHES|AG.01.h.01.e [Fruit containing stone];AG.01.z [Water]
A010598|MUFFIN CUP 0.5-FULL|AG.01.n.13 [Cake];AG.01.w [Setting table]
A010599|BANANAS MIXTURE|AG.01.af [Tea manufacture];AG.01.h.01 [Fruit/a fruit]
A010600|BONE SHAPES|AG.01.n.04 [Jelly]
A010601|CHOCOLATE CRUSTS|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AG.01.n.15 [Pastry];AG.01.n.17.a [Sweets]
A010602|FINE ALMOND MEAL|AG.01.j [Meal];AG.01.r [Meal];AG.01.h.01.f [Nut]
A010603|DRAINED LIQUEUR|AG.01.n.17.a [Sweets];AG.01.ae.01 [Wine-making];AG.01.y.01 [Intoxicating liquor]
A010604|BROWN SUGAR MOUND|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010605|WARM PEACHES|AG.01.h.01.e [Fruit containing stone]
A010606|TABLESPOON-SIZE DOUGH|AG.01.n.11 [Bread]
A010607|PASTRY MIXTURE|AG.01.af [Tea manufacture];AG.01.n.15 [Pastry]
A010608|SYRUPS|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010609|HOT PIE TOP|AG.01.n.15 [Pastry];AG.01 [Food]
A010610|CHILLED PUMPKIN MIXTURE|AG.01.h.02.f [Fruits as vegetables];AG.01.t.06 [Preserving/pickling];AG.01.t.05 [Preparation for table/cooking];AG.01.af [Tea manufacture]
A010611|LONG FLAT LOAVES|AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes]
A010612|SLIGHT NEST|AE.13 [Class Aves (birds)];AE [Animals]
A010613|RESERVED CHERRY|AG.01.h.01.e [Fruit containing stone]
A010614|STRAWBERRY LIQUIDS|AG.01.h.01.b [Berry]
A010615|CONFECTIONER SUGAR|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.t.07 [Cooking]
A010616|RICH DESSERT|AG.01.a [Qualities of food]
A010617|ANISE OIL|AG.01.f [Fat/oil]
A010618|COOKIES BROWN|AG.01.t.07 [Cooking]
A010619|CHEWY BISCUITS|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit];AG.01.b [Consistency of food]
A010621|WREATH SHAPED COOKIE|AG.01.n.13 [Cake]
A010622|UNSWEETENED CHOCOLATE SQUARES|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.t.05 [Preparation for table/cooking]
A010623|7-INCH LONG ROLLS|AG.01.n.11 [Bread]
A010624|MACADAMIAS|AG.01 [Food]
A010625|ANGEL ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010626|HARD BOILING WATER|AG.01.z [Water]
A010627|COOLED CARROT MIXTURE|AG.01.af [Tea manufacture];AG.01.h.02.a [Root vegetable]
A010628|CRUMB BATTER|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation]
A010629|CHILL FROSTING|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010630|RESERVED SLIVERED ALMONDS|AG.01.h.01.f [Nut]
A010631|PUREED JAM|AG.01.n.18 [Preserve]
A010632|WARM SACHERTORTE ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010633|KEY LIME GLAZE|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A010634|LIGHT SYRUP FORMS|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010635|FAVOURITE CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A010636|CRANBERRY APPLE SAUCE|AG.01.h.01.c [Apple];AG.01.h.01.b [Berry];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010637|MINI LOAVES|AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes]
A010638|ELASTIC DOUGH|AG.01.n.11 [Bread]
A010639|FILLED DOUGH|AG.01.n.11 [Bread];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite]
A010640|RING-SHAPED CAKE|AG.01.n.13 [Cake]
A010641|KING CAKE|AG.01.n.13 [Cake];AG.01.ak [Drinking]
A010642|PEPPERMINT FLAVOR|AG.01.n.17.a [Sweets]
A010643|SWEET POTATO CUBES|AG.01.h.02.a [Root vegetable]
A010644|OPTIONAL RUM|AG.01.y.01 [Intoxicating liquor]
A010645|FINISHED DESSERT|AG.01 [Food]
A010646|ADDITIONAL CRUSHED PINEAPPLE|AG.01 [Food]
A010647|EGG BLEND|AG.01.g [Eggs]
A010648|CRUST SMOOTH|AG.01.n.11 [Bread];AG.01.n.15 [Pastry];AG.01.y.01 [Intoxicating liquor]
A010649|PEANUT BUTTER-CEREAL MIXTURE|AG.01.af [Tea manufacture];AG.01.h.01.f [Nut]
A010650|WHITE ALMOND BAR PIECES|AG.01.n.11 [Bread];AG.01.h.01.f [Nut];AG.01.ak.01 [Drinking place]
A010651|SMOOTH CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.y.01 [Intoxicating liquor]
A010652|WORKABLE BATTER|AG.01.m [Substances for food preparation]
A010653|MOISTURE CONTENT|AG.01 [Food]
A010654|GRAPEFRUIT SECTIONS|AG.01.h.01.a [Citrus fruit]
A010655|RESERVED FIG PULP|AG.01.h.01 [Fruit/a fruit]
A010656|BULK FOOD STORES|AG.01 [Food]
A010657|HAZELNUTS LAST|AG.01 [Food]
A010658|CRISPIER COOKIES|AG.01 [Food]
A010659|VANILLA-WHITE CHOCOLATE FILLING|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A010660|DARK CHOCOLATE FILLING|AG.01.n.17.a [Sweets]
A010661|WHITE-CHOCOLATE VANILLA CHEESECAKE BATTER|AG.01.m [Substances for food preparation]
A010662|CANDY MOLDS|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010663|INDIVIDUAL MINTS|AG.01.h.02.i [Herb]
A010664|LITTLE POTATOES|AG.01.h.02.a [Root vegetable]
A010665|MELTED UNSWEETENED CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.t.05 [Preparation for table/cooking];AG.01.t.07 [Cooking]
A010666|MUNCHY CRUNCHY COOKIES|AG.01 [Food]
A010667|COOLED CHOCOLATE CRUST|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AG.01.n.15 [Pastry];AG.01.n.17.a [Sweets]
A010668|BROWNIE CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A010669|STRAWBERRY SHAPES|AG.01.h.01.b [Berry]
A010670|SHAPED STRAWBERRIES|AG.01.h.01.b [Berry]
A010671|FROST COOLED BARS|AG.01.ak.01 [Drinking place]
A010672|GROUND ALMOND|AG.01.h.01.f [Nut]
A010673|CONFECTIONERS ' SUGAR ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.t.07 [Cooking]
A010674|CRUST MIX|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AG.01.n.15 [Pastry]
A010675|CREAM CHEESE MIX|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.m [Substances for food preparation];AG.01.e.02 [Cheese]
A010676|TOFFEE PIECE|AG.01.n.11 [Bread]
A010677|PEANUT PUTTER PIECES|AG.01.n.11 [Bread];AG.01.h.01.f [Nut]
A010678|COOLED SUGAR SYRUP|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010680|COOLED BACON PIECES|AG.01.d.05 [Pork];AG.01.n.11 [Bread]
A010681|TRUFFLE FILLING|AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi]
A010682|ORANGE SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010683|MARGARINE-HONEY SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010684|YEAST OVERTOP|AG.01.m [Substances for food preparation];AG.01.ae.03 [Brewing]
A010685|MARZIPAN FILLING|AG.01 [Food]
A010686|FULL TOP CRUST|AG.01.n.11 [Bread];AG.01.x.02 [Appetite];AG.01.n.15 [Pastry]
A010687|SURE COOKIES|AG.01 [Food]
A010688|COOKIE DOUGH PIECES|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A010689|CREAM CHEESE FUDGE|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A010690|BAKED GRAHAM CRACKER CRUST|AG.01.n.11 [Bread];AG.01.k [Flour];AG.01.n.15 [Pastry];AG.01.t.07 [Cooking]
A010691|MARSHMALLOW MERINGUE|AF.12 [Particular plants/herbs/shrubs]
A010692|COATED TRUFFLES|AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi]
A010693|STUFFED DATES|AG.01.h.01.e [Fruit containing stone];AG.01.t.05 [Preparation for table/cooking]
A010694|RED DECORATOR SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010695|SLICED QUINCE|AG.01.t.05 [Preparation for table/cooking];AG.01.h.01.d [Pear]
A010696|COOKED QUINCE|AG.01.h.01.d [Pear];AG.01.t.07 [Cooking]
A010697|RESERVED QUINCE COOKING LIQUID|AG.01.r [Meal];AG.01.h.01.d [Pear];AG.01.t.07 [Cooking]
A010698|COOLED QUINCE|AG.01.h.01.d [Pear]
A010699|LAVENDER-INFUSED MILK|AG.01.e [Dairy produce]
A010700|SOAKED FRUIT MIXTURE|AG.01.ak.02.a [Excess in drinking];AG.01.af [Tea manufacture];AG.01.h [Fruit and vegetables];AG.01.h.01 [Fruit/a fruit]
A010701|BOTTLE|AG.01.aj.01 [Drinking vessel];AG.01.aj [Containers for drink]
A010702|RASPBERRY JELLY|AG.01.n.04 [Jelly];AG.01.h.01.b [Berry]
A010703|FUN SIZE CANDY BAR|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ak.01 [Drinking place]
A010704|CAKE BOTTOM|AG.01.n.13 [Cake];AG.01.w [Setting table]
A010705|EXCESS ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010706|PRESERVE-TOPPED CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A010707|HOT LEMON BARS|AG.01.ak.01 [Drinking place];AG.01.h.01.a [Citrus fruit];AG.01 [Food]
A010708|FLAT WHIP|AG.01.y [Drink]
A010709|HOT LARD|AG.01.f [Fat/oil];AG.01 [Food]
A010710|PECANS LAST|AG.01.h.01.f [Nut]
A010711|CANDIED CITRON|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.y.01.e [Brandy];AG.01.h.01.a [Citrus fruit]
A010712|MELTED PEANUT BUTTER MIXTURE|AG.01.n [Dishes and prepared food];AG.01.e.01 [Butter];AG.01.t.07 [Cooking];AG.01.h.01.f [Nut];AG.01.af [Tea manufacture]
A010713|POACHED MERINGUES|AG.01.t.07 [Cooking]
A010714|HULLED STRAWBERRIES|AG.01.t.01 [Preparation of grain];AG.01.h.01.b [Berry]
A010715|LIGHT CORN SYRUP MIXTURE|AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010716|PINEAPPLE JAM|AG.01.n.18 [Preserve]
A010717|PEANUT BUTTER FILLING|AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food];AG.01.h.01.f [Nut]
A010718|CREAM CHEESE LUMPS|AG.01.n.18 [Preserve];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food]
A010719|KUMQUATS|AG.01.h.01.a [Citrus fruit]
A010720|FUDGE NUT GLAZE|AG.01.n.17.a [Sweets];AG.01.h.01.f [Nut]
A010721|MANDARIN ORANGE LIQUID|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A010722|SOFTENED SHERBET|AG.01 [Food]
A010723|RUM SAUCE|AG.01.y.01 [Intoxicating liquor];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010724|PINA COLADA OIL|AG.01.f [Fat/oil]
A010725|SWEET DOUGH|AG.01.n.11 [Bread]
A010726|GOOEY BUTTER|AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A010727|FILLED CAKE|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite]
A010729|FROZEN ICE CREAM|AG.01.e [Dairy produce];AG.01.t.06 [Preserving/pickling];AG.01.n [Dishes and prepared food];AG.01 [Food]
A010730|CHOCOLATE ICE CREAM MIXTURE|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01 [Food];AG.01.m [Substances for food preparation];AG.01.af [Tea manufacture]
A010731|FROZEN CHOCOLATE SAUCE|AG.01.n.17.a [Sweets];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing];AG.01.m [Substances for food preparation];AG.01.t.06 [Preserving/pickling]
A010732|SPICES MIXTURE|AG.01.l.03 [Spice];AG.01.af [Tea manufacture]
A010733|SOFT DRINK|AG.01.y.01 [Intoxicating liquor];AG.01.y [Drink];AG.01.ak [Drinking]
A010734|DOZEN BROWNIES|AG.01 [Food]
A010735|TREFOIL COOKIE CUTTER AVAILABLE|AG.01.n.13 [Cake]
A010736|GIRL SCOUT STORES|AG.01 [Food]
A010737|UNPEELED POTATO|AG.01.h.02.a [Root vegetable]
A010738|BLUE DOUGH|AG.01.n.11 [Bread]
A010739|YELLOW DOUGH|AG.01.n.11 [Bread]
A010740|DESIRED ICE|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01 [Food]
A010741|CONFECTIONER 'S SUGAR ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.t.07 [Cooking]
A010742|EXCESS FLUID|AF.10.f [Plant substances]
A010743|OATMEAL COOKIES|AG.01.j [Meal];AG.01.n.02 [Soup/pottage]
A010744|WARM MARSHMALLOW|AF.12 [Particular plants/herbs/shrubs]
A010745|SPICED CREAM|AG.01.e [Dairy produce];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite];AG.01.n [Dishes and prepared food]
A010746|HEAT WHIPPING CREAM|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food]
A010747|OTHER PASTRY CIRCLE|AG.01.n.15 [Pastry]
A010748|SCOTCH WHISKEY|AG.01 [Food]
A010749|WALNUT EXTRACT|AG.01.h.01.f [Nut]
A010750|CREAM OIL|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.f [Fat/oil]
A010751|COLOURED MARSHMALLOWS|AF.12 [Particular plants/herbs/shrubs]
A010752|SALAD OIL|AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables];AG.01.f [Fat/oil]
A010753|COTTON GLOVED HAND|AG.01 [Food]
A010754|PLIABLE COOKIE|AG.01.n.13 [Cake]
A010755|FOLDING COOKIE|AG.01.n.13 [Cake]
A010756|TEST DISK|AG.01 [Food]
A010757|EVEN DISK|AG.01 [Food]
A010758|PIPED COOKIES|AG.01.t.05 [Preparation for table/cooking]
A010759|HARD SKIN|AG.01 [Food]
A010760|SUGAR GLAZE|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010761|READY CRISP RICE CEREAL|AG.01.i [Corn/cereals/grain];AG.01.y.01.a [Wine]
A010762|CRISP RICE CRUMB|AG.01.n.11 [Bread];AG.01.i [Corn/cereals/grain]
A010763|BUTTER MIX|AG.01.m [Substances for food preparation];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A010764|GRADUALLY|AG.01 [Food]
A010765|DRIED CURRANTS|AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A010766|RUM MIXTURES|AG.01.af [Tea manufacture];AG.01.y.01 [Intoxicating liquor]
A010767|CONFECTIONER|AG.01.t.05 [Preparation for table/cooking];AG.01.t.07 [Cooking]
A010768|BEER SODA|AG.01.aa [Aerated/carbonated drink];AG.01.m [Substances for food preparation];AG.01.y.01.b [Ale/beer]
A010769|HOT ESPRESSO MIXTURE|AG.01.ad [Coffee];AG.01.af [Tea manufacture];AG.01 [Food]
A010770|GELATIN-CREAM CHEESE MIXTURE|AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese]
A010771|MELTED DARK CHOCOLATE|AG.01.n.17.a [Sweets]
A010772|WHITE CHOCOLATE-PEANUT BUTTER MIXTURE|AG.01.af [Tea manufacture];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A010773|DRY PISTACHIO PUDDING MIX|AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings]
A010774|CAKE MIX ORANGE|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation];AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A010775|YELLOW CAKE BATTER|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation]
A010776|BROWN BATTER|AG.01.m [Substances for food preparation]
A010777|ORANGE CUPCAKE MIX|AG.01.m [Substances for food preparation]
A010778|WHITE CANDY CORN|AG.01.n.17.a [Sweets];AG.01.i [Corn/cereals/grain];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010779|BOAT-SHAPED BAKING FORM|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A010780|BOAT-SHAPED BAKING FORMS|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A010781|PREPARED ALUMINUM FOIL BAKING FORMS|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A010782|ROUND PASTRY TIP|AG.01.n.15 [Pastry]
A010783|BAKING FORMS|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A010784|RASPBERRY GELATIN MIX|AG.01.h.01.b [Berry];AG.01.m [Substances for food preparation]
A010785|COCONUT-COATED CAKES|AG.01.n.13 [Cake];AG.01.o [Animal food]
A010786|BLUE RASPBERRY GELATIN MIX|AG.01.h.01.b [Berry];AG.01.m [Substances for food preparation]
A010787|BLUE GELATIN|AG.01 [Food]
A010788|BEAT CORN OIL|AG.01.i [Corn/cereals/grain];AG.01.f [Fat/oil]
A010789|CHOCOLATE-COVERED CRISPY PEANUT BUTTER CANDY|AG.01.n.17.a [Sweets];AG.01.n [Dishes and prepared food];AG.01.e.01 [Butter];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.h.01.f [Nut]
A010790|MILK CHOCOLATE BARS|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.m [Substances for food preparation];AG.01.ak.01 [Drinking place]
A010791|COOLED PRETZEL CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry];AG.01.n.14 [Biscuit]
A010792|BLOOMED GELATIN|AF.10.g [Flower/part containing reproductive organs]
A010793|RETURN PIE|AG.01.n.15 [Pastry]
A010794|CONDENSATION|AG.01 [Food]
A010795|CHOCOLATE COVERED TRIANGLE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A010796|TREE TRUNK|AE.14.k [Order Proboscidea (elephants)];AF.07 [Tree/woody plant];AF.10.l [Wood, other part of tree/woody plant]
A010797|CUT BRANCHES|AF.10.l [Wood, other part of tree/woody plant];AE.14.m [Group Ruminantia (sheep, goats, cows)]
A010798|BRANCHES|AF.10.l [Wood, other part of tree/woody plant];AE.14.m [Group Ruminantia (sheep, goats, cows)]
A010799|LOWER BRANCHES|AF.10.l [Wood, other part of tree/woody plant];AE.14.m [Group Ruminantia (sheep, goats, cows)]
A010800|FLATTENED PEANUT BUTTER MIXTURE|AG.01.e.01 [Butter];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food];AG.01.h.01.f [Nut]
A010801|ORGANIC LIQUID STEVIA|AG.01.a [Qualities of food]
A010802|9-INCH FLAN MOLD|AG.01.n.15 [Pastry]
A010803|PEANUT BUTTER CUP CHUNKS|AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food];AG.01.h.01.f [Nut]
A010804|1-SECOND PULSES|AG.01.h.02.g [Pulse]
A010805|CINNAMON ROLL CRUST|AG.01.n.11 [Bread];AG.01.l.03 [Spice];AG.01.n.15 [Pastry]
A010807|1-INCH DEEP WATER BATH|AG.01.z [Water]
A010808|PECAN CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry];AG.01.h.01.f [Nut]
A010809|COOLED PECAN CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry];AG.01.h.01.f [Nut]
A010810|DEGREES F. MIX GRAHAM CRUMBS|AG.01.n.11 [Bread];AG.01.k [Flour];AG.01.m [Substances for food preparation]
A010811|THIN FROSTING CONSISTENCY|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A010812|POUND CAKE CUBE|AG.01.n.13 [Cake]
A010813|POUND CAKE PIECES|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A010814|CARDBOARD CAKE|AG.01.n.13 [Cake]
A010815|GRAHAM CRACKER-BUTTERSCOTCH MIXTURE|AG.01.k [Flour];AG.01.af [Tea manufacture]
A010816|RESERVED GRAHAM CRACKER-BUTTERSCOTCH MIXTURE|AG.01.k [Flour];AG.01.af [Tea manufacture]
A010817|BANANA PUDDING MIX|AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings];AG.01.h.01 [Fruit/a fruit]
A010818|CRUSHED LEMON COOKIES|AG.01.h.01.a [Citrus fruit]
A010819|THIN SAUCE FORMS|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A010820|TSP ALLSPICE|AG.01.l.03 [Spice]
A010821|TSP CLOVES|AG.01.l.03 [Spice]
A010822|FRUIT-FLAVORED GELATIN|AG.01 [Food]
A010823|CHILLED BROWNIE|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling]
A010824|DATE BALLS|AG.01.h.01.e [Fruit containing stone]
A010825|ROUND SMALL BALLS|AG.01 [Food]
A010826|ADDITIONAL CONFECTIONARY SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.n.17 [Confections/sweetmeats]
A010827|POTATO SHAPES|AG.01.h.02.a [Root vegetable]
A010828|GROUND GRAHAM CRACKER CRUMBS|AG.01.n.11 [Bread];AG.01.k [Flour];AG.01.t.05 [Preparation for table/cooking]
